dataset,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
dataco,prophet,nan,0.0,nan,0.0,nan,0.0,nan,0.0
rossmann,prophet,nan,0.0,nan,0.0,nan,0.0,nan,0.0
