dataset,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
dataco,prophet,148.8297,0.0,164.4395,0.0,306.5287,0.0,-1127.3422,0.0
rossmann,prophet,7252.7186,0.0,7753.6778,0.0,14.2401,0.0,0.0456,0.0
